,don_core,don_core_count
0,174,588
1,644,406
2,485,333
3,135,223
4,633,218
5,169,211
6,137,166
7,149,134
8,275,127
9,239,113
10,543,28
11,377,28
12,312,25
13,911,21
14,179,16
15,390,13
16,923,11
17,744,9
18,713,8
19,523,7
20,323,7
21,274,5
22,799,5
23,600,5
24,539,4
25,31,4
26,786,4
27,259,4
28,472,4
29,899,3
30,226,3
31,685,3
32,427,3
33,189,3
34,764,3
35,665,3
36,701,3
37,210,3
38,66,3
39,563,3
40,340,2
41,122,2
42,423,2
43,869,2
44,250,2
45,815,2
46,468,2
47,610,2
48,583,2
49,564,2
50,344,2
51,747,2
52,533,2
53,601,2
54,859,2
55,415,2
56,277,2
57,79,2
58,311,2
59,170,2
60,127,2
61,812,2
62,322,2
63,143,2
64,376,2
65,835,2
66,473,2
67,145,2
68,830,2
69,444,2
70,90,2
71,319,2
72,884,2
73,245,2
74,637,2
75,104,2
76,6,2
77,576,2
78,141,2
79,342,2
80,889,2
81,825,2
82,383,2
83,722,2
84,577,2
85,7,2
86,400,2
87,264,2
88,186,2
89,103,2
90,763,2
91,775,2
92,613,2
93,12,2
94,199,2
95,693,2
96,37,2
97,306,2
98,594,2
99,520,1
100,586,1
101,456,1
102,222,1
103,83,1
104,339,1
105,188,1
106,625,1
107,176,1
108,769,1
109,570,1
110,255,1
111,567,1
112,635,1
113,301,1
114,560,1
115,148,1
116,557,1
117,257,1
118,704,1
119,92,1
120,84,1
121,249,1
122,634,1
123,224,1
124,161,1
125,561,1
126,35,1
127,258,1
128,413,1
129,431,1
130,705,1
131,780,1
132,844,1
133,114,1
134,883,1
135,302,1
136,402,1
137,708,1
138,622,1
139,321,1
140,298,1
141,449,1
142,433,1
143,597,1
144,779,1
145,836,1
146,315,1
147,556,1
148,232,1
149,107,1
150,131,1
151,123,1
152,760,1
153,458,1
154,534,1
155,753,1
156,575,1
157,659,1
158,363,1
159,374,1
160,230,1
161,385,1
162,364,1
163,419,1
164,714,1
165,98,1
166,167,1
167,446,1
168,821,1
169,479,1
170,393,1
171,892,1
172,778,1
173,14,1
174,632,1
175,506,1
176,696,1
177,82,1
178,108,1
179,655,1
180,357,1
181,777,1
182,219,1
183,490,1
184,28,1
185,326,1
186,308,1
187,99,1
188,619,1
189,33,1
190,587,1
191,265,1
192,724,1
193,902,1
194,734,1
195,132,1
196,13,1
197,172,1
198,281,1
199,499,1
200,754,1
201,811,1
202,817,1
203,691,1
204,666,1
205,728,1
206,190,1
207,106,1
208,72,1
209,579,1
210,401,1
211,723,1
212,502,1
213,623,1
214,837,1
215,18,1
216,789,1
217,252,1
218,455,1
219,847,1
220,70,1
221,654,1
222,111,1
223,628,1
224,221,1
225,826,1
226,403,1
227,732,1
228,574,1
229,509,1
230,671,1
231,194,1
232,102,1
233,833,1
234,906,1
235,164,1
236,32,1
237,206,1
238,117,1
239,95,1
240,542,1
241,643,1
242,532,1
243,624,1
244,803,1
245,657,1
246,920,1
247,379,1
248,26,1
249,620,1
250,171,1
251,466,1
252,378,1
253,870,1
254,512,1
255,672,1
256,211,1
257,154,1
258,215,1
259,136,1
260,873,1
261,699,1
262,450,1
263,606,1
264,445,1
265,854,1
266,639,1
267,791,1
268,316,1
269,435,1
270,680,1
271,16,1
272,767,1
273,566,1
274,341,1
275,23,1
276,399,1
277,810,1
278,636,1
279,467,1
280,878,1
281,486,1
282,801,1
283,834,1
284,352,1
285,85,1
286,203,1
287,288,1
288,331,1
289,617,1
290,697,1
291,481,1
292,752,1
293,261,1
294,248,1
295,8,1
296,914,1
297,395,1
298,438,1
299,762,1
300,677,1
301,304,1
302,177,1
303,43,1
304,152,1
305,163,1
306,673,1
307,144,1
308,805,1
309,89,1
310,429,1
311,915,1
312,464,1
313,247,1
314,356,1
315,888,1
316,373,1
317,507,1
318,496,1
319,588,1
320,544,1
321,766,1
322,270,1
323,198,1
324,849,1
325,437,1
326,425,1
327,193,1
328,41,1
329,225,1
330,407,1
331,474,1
332,173,1
333,675,1
334,271,1
335,781,1
336,607,1
