gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
1,7.002675,14.320203,11.012313,0.120000,0.780000,0.780000,2.417486,5.692162,3.289918
2,9.585666,16.090498,12.502236,0.110000,0.190000,0.640000,4.324197,8.800909,4.804531
3,5.792205,16.373045,13.625426,0.230000,0.770000,0.600000,1.198517,7.213870,5.743812
4,8.737247,16.835026,14.386865,1.310000,1.000000,0.640000,0.000000,6.838656,6.173180
5,10.742484,16.838915,15.216993,0.260000,0.080000,0.270000,4.700790,9.684327,7.919351
6,11.681029,17.025263,15.522738,0.680000,0.880000,0.270000,4.084555,7.347615,8.141388
7,12.338188,17.139152,15.758291,0.550000,0.910000,0.900000,4.963501,7.337622,6.365719
8,13.090495,17.139152,16.032832,0.620000,0.910000,0.950000,5.293536,7.337622,6.410592
9,6.694847,17.139152,16.343367,0.830000,0.910000,0.250000,0.000000,7.337622,8.799144
10,11.556755,17.814042,16.496319,0.700000,0.310000,0.890000,3.932504,9.681768,6.932587
11,12.847261,17.822836,16.658747,0.970000,0.320000,0.910000,4.035377,9.657254,6.988744
12,12.118477,17.822836,16.835026,0.210000,0.320000,1.000000,5.854561,9.657254,6.838656
13,13.123100,17.822836,16.950434,0.960000,0.320000,0.900000,4.266596,9.657254,7.231472
14,12.207271,17.822836,17.087245,0.220000,0.320000,0.850000,5.888144,9.657254,7.485330
15,13.113526,17.822836,17.126452,0.330000,0.320000,0.210000,6.206376,9.657254,9.491435
15,13.113526,17.822836,17.126452,0.330000,0.320000,0.210000,6.206376,9.657254,9.491435
16,13.587550,17.822836,17.139152,0.450000,0.320000,0.910000,6.179814,9.657254,7.337622
17,11.704639,17.822836,17.146290,0.320000,0.320000,0.840000,5.214119,9.657254,7.559109
18,11.461376,17.822836,17.149528,0.120000,0.320000,0.320000,5.655468,9.657254,9.168287
19,12.595939,17.822836,17.149528,0.210000,0.320000,0.320000,6.201302,9.657254,9.168287
20,11.181280,20.083842,17.226520,0.880000,0.830000,0.850000,3.103619,9.723308,7.586473
21,12.640704,20.083842,17.237870,0.230000,0.830000,0.230000,6.172010,9.723308,9.510547
22,10.473179,20.083842,17.387210,0.220000,0.830000,0.860000,4.628818,9.723308,7.672269
23,12.022691,20.083842,17.396308,0.260000,0.830000,0.200000,5.630497,9.723308,9.718309
24,7.588397,20.803003,17.801867,1.040000,0.840000,0.900000,0.000000,10.214674,7.849797
25,12.531019,20.803003,17.822836,0.600000,0.840000,0.320000,4.949036,10.214674,9.657254
26,13.424016,20.851330,18.042051,0.400000,0.850000,0.550000,6.215555,10.218870,9.105741
27,14.056572,20.851330,18.150850,0.340000,0.850000,0.300000,6.860331,10.218870,9.957265
28,13.199494,20.851330,18.299994,0.560000,0.850000,0.380000,5.558095,10.218870,9.818372
29,11.419762,20.851330,18.414232,0.240000,0.850000,0.300000,5.254441,10.218870,10.148537
30,13.779296,20.851330,18.617146,0.690000,0.850000,0.640000,5.577451,10.218870,9.245279
31,12.585793,20.851330,18.655959,0.100000,0.850000,0.900000,6.533839,10.218870,8.470052
32,8.822347,20.851330,18.936033,1.330000,0.850000,0.960000,0.000000,10.218870,8.488044
33,14.228254,20.851330,19.094962,0.570000,0.850000,0.870000,6.274297,10.218870,8.881566
34,14.389815,20.851330,19.094962,0.090000,0.850000,0.870000,7.874850,10.218870,8.881566
35,13.954785,20.851330,19.116684,0.680000,0.850000,0.950000,5.735794,10.218870,8.650136
36,11.961849,20.851330,19.599982,0.460000,0.850000,0.910000,4.968303,10.218870,9.124717
37,15.384920,20.851330,19.633995,0.120000,0.850000,0.570000,8.504810,10.218870,10.200035
38,12.585793,20.851330,19.633995,0.100000,0.850000,0.570000,6.533839,10.218870,10.200035
39,14.235053,20.851330,19.633995,0.420000,0.850000,0.570000,6.742743,10.218870,10.200035
40,13.783627,20.851330,19.633995,0.670000,0.850000,0.570000,5.642397,10.218870,10.200035
41,8.141547,20.851330,19.679360,1.170000,0.850000,0.880000,0.000000,10.218870,9.275064
42,14.358432,20.851330,19.764142,0.610000,0.850000,0.840000,6.245232,10.218870,9.460237
43,15.071428,20.851330,19.764142,0.080000,0.850000,0.840000,8.400749,10.218870,9.460237
44,14.177570,20.851330,19.826946,0.430000,0.850000,0.830000,6.670097,10.218870,9.536746
45,14.438345,20.851330,19.833232,0.720000,0.850000,0.900000,5.963361,10.218870,9.325008
46,14.539440,20.851330,19.839550,0.720000,0.850000,0.890000,6.036778,10.218870,9.360497
47,12.391197,20.851330,19.871884,0.410000,0.850000,0.890000,5.434605,10.218870,9.383978
48,15.669778,20.851330,19.871884,0.130000,0.850000,0.890000,8.680778,10.218870,9.383978
49,12.174544,20.851330,19.871884,0.360000,0.850000,0.890000,5.431770,10.218870,9.383978
50,15.114701,20.851330,19.969722,1.010000,0.850000,0.930000,5.558428,10.218870,9.331428
51,13.608005,20.851330,19.969722,0.480000,0.850000,0.930000,6.101967,10.218870,9.331428
52,13.705875,20.851330,19.969722,0.460000,0.850000,0.930000,6.234843,10.218870,9.331428
53,13.792108,20.851330,19.969722,0.570000,0.850000,0.930000,5.957561,10.218870,9.331428
54,14.886127,20.851330,19.969722,0.390000,0.850000,0.930000,7.308265,10.218870,9.331428
55,14.351495,20.851330,19.969722,0.080000,0.850000,0.930000,7.877922,10.218870,9.331428
56,12.743389,20.851330,19.969722,0.490000,0.850000,0.930000,5.443168,10.218870,9.331428
57,12.671123,20.851330,19.969722,0.400000,0.850000,0.930000,5.668792,10.218870,9.331428
58,12.640596,20.851330,19.969722,0.520000,0.850000,0.930000,5.275817,10.218870,9.331428
59,8.141547,20.851330,19.969722,1.170000,0.850000,0.930000,0.000000,10.218870,9.331428
60,15.447512,20.851330,19.969722,0.030000,0.850000,0.930000,8.828370,10.218870,9.331428
61,12.990478,20.851330,19.969722,0.350000,0.850000,0.930000,6.055215,10.218870,9.331428
62,12.762187,20.851330,19.969722,0.630000,0.850000,0.930000,5.024213,10.218870,9.331428
63,11.817204,20.851330,19.969722,0.340000,0.850000,0.930000,5.234065,10.218870,9.331428
64,14.100745,20.851330,19.969722,0.650000,0.850000,0.930000,5.934494,10.218870,9.331428
65,13.964602,20.851330,19.969722,0.530000,0.850000,0.930000,6.206431,10.218870,9.331428
66,13.086192,20.851330,19.969722,0.470000,0.850000,0.930000,5.753918,10.218870,9.331428
67,15.605876,20.851330,19.969722,0.930000,0.850000,0.930000,6.162331,10.218870,9.331428
68,14.258415,20.851330,19.969722,0.610000,0.850000,0.930000,6.172599,10.218870,9.331428
69,10.981049,20.851330,19.969722,0.120000,0.850000,0.930000,5.306647,10.218870,9.331428
70,13.584597,20.851330,19.969722,0.470000,0.850000,0.930000,6.115868,10.218870,9.331428
71,7.588397,20.851330,19.969722,1.040000,0.850000,0.930000,0.000000,10.218870,9.331428
72,13.845029,20.851330,19.969722,0.500000,0.850000,0.930000,6.212297,10.218870,9.331428
73,15.524134,20.851330,19.969722,0.570000,0.850000,0.930000,7.215387,10.218870,9.331428
74,15.306708,20.851330,19.969722,0.870000,0.850000,0.930000,6.130473,10.218870,9.331428
75,12.605263,20.851330,19.969722,0.190000,0.850000,0.930000,6.269874,10.218870,9.331428
76,15.032751,20.851330,19.969722,1.090000,0.850000,0.930000,5.251710,10.218870,9.331428
77,11.641637,20.851330,19.969722,0.220000,0.850000,0.930000,5.477372,10.218870,9.331428
78,14.330115,20.851330,19.969722,0.600000,0.850000,0.930000,6.255569,10.218870,9.331428
79,8.013897,20.851330,19.969722,1.140000,0.850000,0.930000,0.000000,10.218870,9.331428
80,14.633689,20.851330,19.969722,0.490000,0.850000,0.930000,6.815935,10.218870,9.331428
81,13.776420,20.851330,19.969722,0.460000,0.850000,0.930000,6.286074,10.218870,9.331428
82,14.820873,20.851330,19.969722,0.720000,0.850000,0.930000,6.241159,10.218870,9.331428
83,7.588397,20.851330,19.969722,1.040000,0.850000,0.930000,0.000000,10.218870,9.331428
84,12.821531,20.851330,19.969722,0.430000,0.850000,0.930000,5.685319,10.218870,9.331428
85,7.588397,20.851330,19.969722,1.040000,0.850000,0.930000,0.000000,10.218870,9.331428
86,14.907182,20.851330,19.969722,0.040000,0.850000,0.930000,8.405073,10.218870,9.331428
87,15.251833,20.851330,19.969722,0.950000,0.850000,0.930000,5.843418,10.218870,9.331428
88,13.310635,20.851330,19.969722,0.350000,0.850000,0.930000,6.287718,10.218870,9.331428
89,14.932330,20.851330,19.969722,0.710000,0.850000,0.930000,6.353001,10.218870,9.331428
90,13.968660,20.851330,19.969722,0.100000,0.850000,0.930000,7.538100,10.218870,9.331428
91,11.695337,20.851330,19.969722,0.380000,0.850000,0.930000,5.021961,10.218870,9.331428
92,13.487862,20.851330,19.969722,0.280000,0.850000,0.930000,6.632727,10.218870,9.331428
93,11.835964,20.851330,19.969722,0.150000,0.850000,0.930000,5.834799,10.218870,9.331428
94,12.338984,20.851330,19.969722,0.270000,0.850000,0.930000,5.829294,10.218870,9.331428
95,15.297195,20.851330,19.969722,1.150000,0.850000,0.930000,5.258350,10.218870,9.331428
96,15.118667,20.851330,19.969722,0.740000,0.850000,0.930000,6.395621,10.218870,9.331428
97,12.551369,20.851330,19.969722,0.370000,0.850000,0.930000,5.674526,10.218870,9.331428
98,15.083688,20.851330,19.969722,1.060000,0.850000,0.930000,5.381403,10.218870,9.331428
99,7.333097,20.851330,19.969722,0.980000,0.850000,0.930000,0.000000,10.218870,9.331428
