gen,filename,deltaHOMO,summedoscs,PCE,donor
84,281_34_580_22_281_13051,1.45,7.918123,20.236201,PBDB-T-SF
80,279_34_457_115_279_13051,1,9.281221,20.198438,PBDB-T-SF
88,281_22_580_184_281_13051,1.36,8.11691,20.126982,PBDB-T-SF
95,281_22_714_184_281_13051,1.37,8.049405,20.076578,PBDB-T-SF
86,281_34_580_64_281_13051,1.49,7.673608,20.069705,PBDB-T-SF
112,281_34_620_65_281_13051,1.32,8.09547,19.927259,PBDB-T-SF
91,281_22_714_22_281_13031,1.33,8.061213,19.922637,PBDB-T-SF
123,281_34_780_34_281_13031,1.04,8.902154,19.846662,PBDB-T-SF
110,281_34_620_34_281_13031,1.01,8.951415,19.786845,PBDB-T-SF
30,279_7_580_22_279_13051,1.35,7.896623,19.781096,PBDB-T-SF
74,281_34_580_34_281_13031,1.14,8.501976,19.721118,PBDB-T-SF
83,281_22_580_22_281_13031,1.34,7.875206,19.709056,PBDB-T-SF
116,280_34_620_115_280_13051,1.13,8.505667,19.683649,PBDB-T-SF
113,279_34_457_89_279_13051,1.25,8.125024,19.670105,PBDB-T-SF
83,281_34_768_34_281_13031,0.81,9.473116,19.654227,PBDB-T-SF
120,281_34_620_115_281_13051,1.18,8.317284,19.636997,PBDB-T-SF
80,281_34_580_115_281_13051,1.19,8.26737,19.610816,PBDB-T-SF
106,281_34_580_65_281_13051,1.3,7.91488,19.593486,PBDB-T-SF
90,281_108_580_64_281_13051,1.43,7.510305,19.589537,PBDB-T-SF
87,281_34_580_160_281_13051,1.46,7.398163,19.562767,PBDB-T-SF
117,280_34_620_34_280_13031,1.09,8.527347,19.543303,PBDB-T-SF
50,279_34_580_115_279_13051,0.98,8.848842,19.517952,PBDB-T-SF
82,281_184_580_184_281_13031,1.3,7.846433,19.499235,PBDB-T-SF
121,281_34_580_51_281_13051,1.43,7.43631,19.487645,PBDB-T-SF
115,281_34_768_127_281_13051,1.03,8.670139,19.484628,PBDB-T-SF
