,SMILES,new name,old name,homo,lumo,bandgap
0,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a,-6.908970664,-3.337449165,3.571521499
1,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.590298134,-2.097235869,4.493062265
2,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448,-3.393014813,3.472417635
3,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218,-2.426983433,4.741828747
4,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a,-7.280242802,-2.082949891,5.19729291
5,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218,-4.332515094,3.040981125
6,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u,-6.773702869,-1.774019037,4.999683832
7,C1=CN=C(C2C1=NSN=2),7ac,17a,-7.244949635,-2.948271936,4.296677699
8,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.823173167,-2.133290954,4.689882213
9,C1=CC=C(c2c1nsn2),9ac,3a,-6.785594244,-2.500780709,4.284813536
10,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.907174713,-2.652348124,4.254826589
11,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u,-7.019993115,-1.134769179,5.885223936
12,C1=NC=CC(=N1)C=C,12ac,32u,-6.974767793,-1.882157081,5.092610712
13,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367966,-1.760930361,4.927437605
14,C1=C(F)C(F)=C(S1),14ac,6u,-6.953325222,-0.843144766,6.110180456
15,C1=CN=C(C=N1),15ac,57u,-6.898684761,-1.577199089,5.321485672
16,C1=CC=C(S1),16ac,2u,-6.546705495,-0.447600073,6.099105422
17,C1=NC(=NC=N1),17ac,33u,-7.639297028,-1.746726018,5.89257101
18,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933,6.340579253
19,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156,3.956072793
20,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161,3.698925204
21,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688,4.708195476
22,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826,4.808197316
23,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346,3.210508054
24,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131,5.737330058
25,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917,5.081535678
26,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856,4.386366425
27,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569,5.695179623
28,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476,3.363735363
29,C1=NC=C(N=N1),29ac,31u,-6.648421652,-2.29432793,4.354093722
30,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056,5.180095315
31,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377,5.519040327
32,C1=CN=C(N=C1),32ac,21u,-7.005462236,-1.353194967,5.652267268
33,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.730246287,-2.474004706,4.256241581
34,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.61537822,-3.055892964,4.559485256
35,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.891419321,-3.221338185,3.670081136
36,C=C,36ac,59u,-7.506233355,0.157499497,7.663732851
37,C1=CC(F)=C(C=C1F),37ac,5u,-6.809159304,-0.895009666,5.914149638
38,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448,-3.393014813,3.472417635
39,C1=CC=C(c2c1non2),39ac,22a,-7.07430704,-2.64108261,4.43322443
40,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616,4.032536785
41,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.755135894,-2.59019732,5.164938574
42,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a,-7.121001777,-2.754989468,4.366012309
44,C1=[S]c2cscc2[S]=C1C=C,44,280,-5.475719802,-1.360841366,4.114878436
55,c1sc(c2c1cc(C(=O)OC)s2),55,952,-5.914748289,-1.927572883,3.987175406
59,c1[nH]c2cc([nH]c2c1)C=C,59,367,-4.836606002,-0.607521383,4.229084619
62,c1oc2c(n1)cc1c(c2)oc(n1)C=C,62,870,-6.378185387,-1.919790427,4.458394961
64,c1oc(c(c1C(F)(F)F)OC)C=C,64,966,-5.760133199,-1.121109064,4.639024135
70,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,70,41,-5.742799546,-1.503184122,4.239615425
75,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,75,56,-6.236087535,-2.240422177,3.995665358
95,c1sc(c2c1cc(S)c(O)c2)C=C,95,493,-5.275171894,-1.944335096,3.330836798
96,c1sc(c2c1c(C(=O)O)ccc2O),96,958,-5.922666802,-2.132719515,3.789947287
103,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,103,187,-4.689855002,-2.575693652,2.11416135
104,c1scc(C)c1C=CC=C,104,304,-5.651532561,-1.468326337,4.183206224
122,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,122,874,-5.067657872,-1.801556959,3.266100913
123,c1sc(c2c1CC[C@@H](C=O)C2),123,810,-6.235461673,-0.873975265,5.361486408
127,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),127,123,-6.754328363,-1.016726191,5.737602172
129,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,129,531,-5.672648596,-0.976290073,4.696358523
135,c1sc(c2c1[nH]c(N(=O)=O)c2),135,714,-6.06645176,-2.729519612,3.336932149
150,c1c(CC)cc(s1)C=C,150,465,-5.853332193,-1.195586625,4.657745568
161,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,161,119,-5.697356533,-1.163586036,4.533770497
172,c1sc(c2c1c(C(F)(F)F)ccc2OC)C=C,172,358,-5.500291683,-2.10099104,3.399300643
186,c1sc2c(c1)C(C)(C)c1c2sc(c1)C=C,186,930,-5.189537666,-1.609689483,3.579848183
191,c1c(C)Nc(C)c1C=C,191,678,-5.171686997,0.056436413,5.22812341
196,c1sc(c2c1sc(=O)c(=O)s2)C=C,196,96,-6.515385191,-2.795017415,3.720367775
221,c1sc2c(n1)Cc1c2sc(c1)C=C,221,974,-5.445406319,-1.800250812,3.645155507
228,c1sc(c(c1)N(=O)=O),228,364,-7.520165584,-2.4756646,5.044500983
