,SMILES,new name,old name
0,C=C1C(=O)C2=CC(=C(C=C2C1=C(C#N)C#N)C#N)C#N,0atr,10atr
2,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u
3,C=C1C(=O)C2=CSC=C2C1=C(C#N)C#N,3atr,15atr
4,C1=NN=C(C2C1=NSN=2),2ac,6a
5,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d
6,C=C1C(=O)C2=C(C=C(C(=C2)C#N)C(=O)O)C1=C(C#N)C#N,6atr,11atr
7,C1=C(ON=C1)C=O,7atr,30utr
8,C1=CC=C2C(=C1)S/C(=C\C=C\3/C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C,8atr,16utr
11,C1=NC=CN1C(=O)N2C=NC=C2,11atr,37utr
12,C=C1C(=O)C2=C(C=C(C(=C2)F)F)C1=C(C#N)C#N,12atr,1atr
13,C1=CC=C(C(=C1)CO)[N+](=O)[O-],13atr,40utr
16,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a
17,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2F)F)F,17atr,21atr
18,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3,18atr,42utr
19,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)Cl,19atr,34atr
20,C=C1C(=O)C2=C(C=C(C(=C2)C)C)C1=C(C#N)C#N,20atr,22atr
23,C1=NC(=CO1)C=O,23atr,34utr
24,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl,24atr,29atr
26,C1=CN=C(C2C1=NSN=2),7ac,17a
27,C=c1c2c(c(=C(C#N)C#N)s1)C=CC=C2,27atr,45utr
29,C1=CC=C(C2=NC=CN=C12),8ac,7a
31,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr
32,C1=CC=C(c2c1nsn2),9ac,3a
33,C=C(C(=O)OC)C#N,33atr,44utr
36,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr
38,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C,38atr,16atr
39,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u
40,C1=NC=CC(=N1)C=C,12ac,32u
43,C=C1C(=C(C#N)C#N)C2=C(C=CS2)C1=O,43atr,35atr
47,C1=CN=C(C=N1),15ac,57u
52,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3,52atr,32atr
54,C=C1C(=O)C2=CC=CC=C2C1=O,54atr,27atr
55,C=C1C(=O)C2=CC3=C(C=C(C=C3)F)C=C2C1=C(C#N)C#N,55atr,52utr
56,C1=C(C(=C(C#N)C#N)SC1(C2=CC=CC=C2)C3=CC=CC=C3)C#N,56atr,21utr
57,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u
58,C1=NN=C(C2C1=NON=2),20ac,5a
59,C#Cc1c(c(c(s1)C#N)F)F,59atr,28utr
60,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr
62,C=C1C(=C(C#N)C#N)C2=C(C=CC=C2)C1=C(C#N)C#N,62atr,19atr
63,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a
64,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr
65,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a
69,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC(=C3)Br,69atr,33atr
76,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)Cl)Cl,76atr,3atr
77,C1=CN=C(N=C1),32ac,21u
78,C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N,70atr,53utr
79,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u
80,C=C1SC(=O)C=C1,80atr,27utr
81,C=c1c(=O)n(c(=C(C#N)C#N)s1)C,81atr,20atr
85,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)C(=O)OC)C(=O)OC,85atr,47utr
88,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2)Br)Br,88atr,31atr
90,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1,90atr,51utr
93,OC(=O)c1c(noc1C#N)C#N,93atr,33utr
94,C1=CC=C(c2c1non2),39ac,22a
95,C1=CC=C(c2c1n[se]n2),40ac,23a
96,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)C,96atr,14atr
97,C=C1C(=O)N(C(=O)N(C1=O)C)C,97atr,25atr
99,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Br,99atr,30atr
100,C1=C(C(=C(C#N)C#N)OC1(C2=CC=CC=C2)C3=CC=CC=C3)C#N,100atr,20utr
101,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3,52atr,32atr
103,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CS2,103atr,23atr
111,c1cc(SC)sc1C=C,111,418
125,c1oc(c(c1C(F)(F)F)OC)C=C,125,1018
126,c1c2n(CC)c3c(c2ccc1)cccc3C=C,126,717
142,c1sc(c2c1[C@H](S)CCC2)C=C,142,372
174,C1=C2C(C(=O)N1)=C(OC2=O),174,299
179,c1sc(c2c1c(C#N)ccc2),179,667
204,c1sc2c(c1)sc1cc(sc21),204,88
235,c1sc(O)c(c1),235,267
273,c1sc(c2c1cc(C)c(OC)c2)C=C,273,544
293,c1c2c(nccn2)c(c2c1nccn2)C=C,293,109
